RESULT TYPE	ID	ASPECT	LEMMA	FRAME	REFLEXVERB
RESULT_1	blu-v-dovádět1-dovést1-3	impf	dovádět  	ACT(1;obl) PAT(4;obl) EFF(k+3;obl)	no_reflexverb
RESULT_1	blu-v-dovádět1-dovést1-3	pf	dovést	ACT(1;obl) PAT(4;obl) EFF(k+3;obl)	no_reflexverb
RESULT_1	blu-v-shrnout-shrnovat-4	impf	shrnovat  	ACT(1;obl) PAT(4;obl) DIR3(;obl) DIR(;typ)	no_reflexverb
RESULT_1	blu-v-shrnout-shrnovat-4	pf	shrnout	ACT(1;obl) PAT(4;obl) DIR3(;obl) DIR(;typ)	no_reflexverb
RESULT_1	blu-v-překládat-přeložit-1	impf	překládat  	ACT(1;obl) PAT(4;obl) DIR1(;obl) DIR3(;obl)	no_reflexverb
RESULT_1	blu-v-překládat-přeložit-1	pf	přeložit	ACT(1;obl) PAT(4;obl) DIR1(;obl) DIR3(;obl)	no_reflexverb
RESULT_1	blu-v-vléci-vléct-1	impf	vléci	ACT(1;obl) PAT(4;obl) INTT(k+3,na+4,inf;opt) MEANS(za+4;typ) DIR(;typ)	no_reflexverb
RESULT_1	blu-v-vléci-vléct-1	impf	vléct	ACT(1;obl) PAT(4;obl) INTT(k+3,na+4,inf;opt) MEANS(za+4;typ) DIR(;typ)	no_reflexverb
RESULT_1	blu-v-vléci-vléct-1	impf	vlíct	ACT(1;obl) PAT(4;obl) INTT(k+3,na+4,inf;opt) MEANS(za+4;typ) DIR(;typ)	no_reflexverb
RESULT_1	blu-v-vyrovnat-vyrovnávat-1	impf	vyrovnávat  	ACT(1;obl) PAT(4;obl) LOC(;typ) DIR3(;typ)	no_reflexverb
RESULT_1	blu-v-vyrovnat-vyrovnávat-1	pf	vyrovnat	ACT(1;obl) PAT(4;obl) LOC(;typ) DIR3(;typ)	no_reflexverb
RESULT_1	blu-v-orientovat-2	biasp	orientovat	ACT(1;obl) PAT(4;obl) DIR3(;obl) CRIT(;typ)	no_reflexverb
RESULT_1	blu-v-jmenovat-4	biasp	jmenovat	ACT(1;obl) PAT(4;obl) EFF(5,7;obl)	no_reflexverb
RESULT_1	blu-v-zvolit-2	pf	zvolit	ACT(1;obl) PAT(4;obl) EFF(7,za+4;obl)	no_reflexverb
RESULT_1	blu-v-štvát-1	impf	štvát  	ACT(1;obl) PAT(4;obl) EFF(na+4,za+4;opt) DIR(;typ)	no_reflexverb
RESULT_1	blu-v-vytěžit-vytěžovat1-2	impf	vytěžovat 	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-vytěžit-vytěžovat1-2	pf	vytěžit	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-odstartovat-1	pf	odstartovat	ACT(1;obl) PAT(4;obl)	no_reflexverb
RESULT_1	blu-v-uzavírat-uzavřít-1	impf	uzavírat  	ACT(1;obl) PAT(4;obl) MANN(;typ) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-uzavírat-uzavřít-1	pf	uzavřít	ACT(1;obl) PAT(4;obl) MANN(;typ) MEANS(7;typ)	no_reflexverb
RESULT_2	blu-v-oženit-se-1	pf	oženit se	ACT(1;obl) PAT(s+7;obl)	derived-autocaus_patient_PAT blu-v-oženit-1
RESULT_1	blu-v-zavádět-zavést-1	pf	zavést	ACT(1;obl) PAT(4;obl) DIR3(;obl) INTT(k+3,na+4,inf;opt) DIR(;typ)	no_reflexverb
RESULT_1	blu-v-vyzvedat-vyzvedávat-vyzvednout-3	impf1	vyzvedávat  	ACT(1;obl) PAT(4;obl) LOC(;typ) BEN(3,pro+4;typ)	no_reflexverb
RESULT_1	blu-v-vyzvedat-vyzvedávat-vyzvednout-3	impf2	vyzvedat  	ACT(1;obl) PAT(4;obl) LOC(;typ) BEN(3,pro+4;typ)	no_reflexverb
RESULT_1	blu-v-vyzvedat-vyzvedávat-vyzvednout-3	pf	vyzvednout	ACT(1;obl) PAT(4;obl) LOC(;typ) BEN(3,pro+4;typ)	no_reflexverb
RESULT_1	blu-v-promíchat-promíchávat-1	impf	promíchávat  	ACT(1;obl) PAT(4;obl) ORIG(z+2;opt) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-promíchat-promíchávat-1	pf	promíchat	ACT(1;obl) PAT(4;obl) ORIG(z+2;opt) MEANS(7;typ)	no_reflexverb
RESULT_1	blu-v-libovat-si-1	impf	libovat si	ACT(1;obl) PAT(4,v+6,že,cont;obl)	tantum
RESULT_1	blu-v-strávit-stravovat-2	pf	strávit	ACT(1;obl) PAT(4;obl) MANN(;typ) MEANS(7;typ) LOC(;typ) ACMP(s+7;typ)	no_reflexverb
